2025-12-19||Complete|2025-12-19-inv-update-readme-current-cli-commands.md|Investigation: Update README with current CLI commands and usage
2025-12-19|beads|Complete|2025-12-19-inv-set-beads-issue-status-progress.md|Investigation: Set beads issue status to in_progress on spawn
2025-12-19|cli|Complete|2025-12-19-inv-cli-orch-complete-command.md|Investigation: CLI orch complete Command Implementation
2025-12-19|cli|Complete|2025-12-19-inv-cli-orch-status-command.md|Investigation: CLI Orch Status Command
2025-12-19|cli|Complete|2025-12-19-inv-cli-project-scaffolding-build.md|Investigation: CLI Project Scaffolding and Build Setup
2025-12-19|opencode|Complete|2025-12-19-inv-client-opencode-session-management.md|Investigation: OpenCode Client Package Session Management
2025-12-19|spawn|Complete|2025-12-19-inv-cli-orch-spawn-command.md|Investigation: CLI orch spawn Command Implementation
2025-12-19|spawn|Complete|2025-12-19-simple-opencode-poc-spawn-session-via.md|Investigation: OpenCode POC - Spawn Session Via Go
2025-12-20||Complete|2025-12-20-inv-add-api-agentlog-endpoint-serve.md|Summary (D.E.K.N.)
2025-12-20||Complete|2025-12-20-inv-add-cli-commands-focus-drift.md|Investigation: Add CLI Commands for Focus, Drift, and Next
2025-12-20||Complete|2025-12-20-inv-add-dry-run-flag-daemon.md|Investigation: Add --dry-run flag to daemon run command
2025-12-20||Complete|2025-12-20-inv-add-orch-review-command-batch.md|Investigation: Add orch review command for batch completion workflow
2025-12-20||Complete|2025-12-20-inv-add-wait-command-orch.md|Investigation: Add Wait Command to orch-go
2025-12-20||Complete|2025-12-20-inv-automate-knowledge-sync-using-cobra.md|Investigation: Automate Knowledge Sync using Cobra Doc Gen
2025-12-20||Complete|2025-12-20-inv-benchmark-kb-search-vs-grep.md|Summary (D.E.K.N.)
2025-12-20||Complete|2025-12-20-inv-compare-orch-cli-python-orch.md|Investigation: Compare orch-cli (Python) vs orch-go Features
2025-12-20||Complete|2025-12-20-inv-enhance-orch-review-parse-display.md|Investigation: Enhance orch review to parse and display SYNTHESIS.md
2025-12-20||Complete|2025-12-20-inv-enhance-status-command-swarm-progress.md|Summary (D.E.K.N.)
2025-12-20||Complete|2025-12-20-inv-expose-strategic-alignment-commands-focus.md|Investigation: Expose Strategic Alignment Commands
2025-12-20||Complete|2025-12-20-inv-finalize-native-implementation-orch-send.md|Investigation: Finalize Native Implementation for orch send
2025-12-20||Complete|2025-12-20-inv-orch-add-abandon-command.md|Investigation: Add Abandon Command to orch-go
2025-12-20||Complete|2025-12-20-inv-orch-add-agent-registry-persistent.md|Investigation: Agent Registry for Persistent Tracking
2025-12-20||Complete|2025-12-20-inv-orch-add-question-command.md|Investigation: orch-go Add Question Command
2025-12-20||Complete|2025-12-20-inv-orch-add-tail-command.md|Investigation: Add Tail Command for Agent Debugging
2025-12-20||Complete|2025-12-20-inv-orch-add-work-command.md|Investigation: Add work command to orch-go
2025-12-20||Complete|2025-12-20-inv-perform-final-sanity-check-orch.md|Investigation: Final Sanity Check of orch-go Commands
2025-12-20||Complete|2025-12-20-inv-plan-refactoring-pkg-registry-act.md|Investigation: Refactoring pkg/registry as Beads Issue State Cache
2025-12-20||Complete|2025-12-20-inv-poc-port-python-standalone-api.md|Investigation: POC Port Python Standalone + API Discovery to orch-go
2025-12-20||Complete|2025-12-20-inv-refactor-orch-tail-use-opencode.md|Summary (D.E.K.N.)
2025-12-20|beads|Complete|2025-12-20-inv-fix-bd-create-output-parsing.md|Investigation: Fix bd create output parsing
2025-12-20|beads|Complete|2025-12-20-inv-scaffold-beads-ui-v2-bun.md|Investigation: Scaffold beads-ui v2 (Bun + SvelteKit 5 + shadcn-svelte)
2025-12-20|daemon|Complete|2025-12-20-inv-orch-add-daemon-command.md|Investigation: Daemon Command Implementation
2025-12-20|design|Complete|2025-12-20-design-explore-tradeoffs-orch-opencode-integration.md|Investigation: Explore Tradeoffs for orch-go OpenCode Integration
2025-12-20|knowledge|Complete|2025-12-20-inv-investigate-model-flexibility-arbitrage-orch.md|Investigation: Port model flexibility and arbitrage to orch-go
2025-12-20|knowledge|Complete|2025-12-20-inv-research-gemini-model-arbitrage-alternatives.md|Investigation: Gemini 2.0 and Model Arbitrage Alternatives (Late 2025)
2025-12-20|knowledge|Complete|2025-12-20-research-model-arbitrage-api-vs-max.md|Investigation: Model Arbitrage and API vs Max Math (Late 2025)
2025-12-20|research|Complete|2025-12-20-inv-recursive-research-loop-persona-confusion.md|Investigation: Recursive Research Loop Persona Confusion
2025-12-20|research|Complete|2025-12-20-inv-research-claude-claude-max-pricing.md|Research: Claude 4.5 and Claude Max Pricing (Late 2025)
2025-12-20|research|Complete|2025-12-20-inv-research-gemini-2-0-models.md|Research: Gemini 2.0 Models (Flash, Pro, Experimental)
2025-12-20|research|Complete|2025-12-20-research-opencode-native-context-loading.md|Investigation: OpenCode Native Context Loading
2025-12-20|research|Complete|2025-12-20-research-orch-spawn-vs-opencode-agents.md|Investigation: orch spawn vs Native OpenCode Agents
